,g,date,unnamed: 2_level_1,opp,w/l,tm,opp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,unnamed: 23_level_1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,season,team
0,1,2023-11-06,@,Oklahoma State,W,64,59,26,57,.456,5,18,.278,7,11,.636,7,32,13,4,1,15,18,,23,56,.411,5,23,.217,8,20,.400,6,32,13,9,2,12,16,2024,abilene christian
1,2,2023-11-10,@,NC State,L,64,84,20,57,.351,5,17,.294,19,27,.704,14,34,12,4,3,11,19,,29,62,.468,6,22,.273,20,24,.833,12,34,12,4,3,7,20,2024,abilene christian
2,3,2023-11-14,,Prairie View,L,74,79,23,60,.383,5,19,.263,23,29,.793,13,34,9,8,1,14,25,,21,49,.429,4,10,.400,33,34,.971,8,34,7,8,5,14,23,2024,abilene christian
3,4,2023-11-17,N,San Jose State,W,77,71,25,59,.424,7,15,.467,20,26,.769,7,27,13,1,3,5,14,,28,61,.459,8,25,.320,7,12,.583,9,35,13,4,3,6,18,2024,abilene christian
4,5,2023-11-19,N,Fordham,W,59,45,22,55,.400,3,12,.250,12,17,.706,6,29,9,11,1,9,19,,16,54,.296,1,12,.083,12,21,.571,16,41,3,5,3,19,16,2024,abilene christian
5,6,2023-11-20,N,Missouri State,L,69,87,25,59,.424,7,16,.438,12,19,.632,5,21,12,11,2,12,22,,30,52,.577,7,18,.389,20,27,.741,8,39,16,5,3,15,18,2024,abilene christian
6,7,2023-11-29,@,UT Arlington,L,71,86,25,55,.455,8,17,.471,13,19,.684,5,22,20,11,1,15,22,,27,47,.574,12,22,.545,20,28,.714,5,29,25,9,4,17,18,2024,abilene christian
7,8,2023-12-02,,Stephen F. Austin,L (1 OT),74,79,21,55,.382,4,17,.235,28,35,.800,3,26,9,15,2,22,24,,26,57,.456,8,22,.364,19,29,.655,11,43,8,8,5,28,26,2024,abilene christian
8,9,2023-12-06,,Northern Arizona,L,76,78,23,60,.383,5,19,.263,25,31,.806,9,28,9,12,1,10,18,,28,57,.491,6,18,.333,16,20,.800,10,41,13,5,4,21,26,2024,abilene christian
9,10,2023-12-10,,Howard Payne,W,120,69,46,76,.605,8,25,.320,20,32,.625,16,57,32,8,0,17,24,,24,66,.364,8,25,.320,13,25,.520,5,23,9,9,1,18,23,2024,abilene christian
10,11,2023-12-17,,UTEP,W,88,82,24,42,.571,6,13,.462,34,48,.708,5,30,13,5,1,23,25,,26,62,.419,5,15,.333,25,36,.694,14,32,12,15,0,15,33,2024,abilene christian
11,12,2023-12-21,@,Arkansas,L,73,83,28,72,.389,4,16,.250,13,20,.650,9,30,15,10,1,8,21,,27,52,.519,7,15,.467,22,28,.786,7,45,9,2,6,17,17,2024,abilene christian
12,13,2023-12-30,@,Western Kentucky,L,84,86,32,75,.427,11,22,.500,9,9,1.000,7,31,18,6,0,9,16,,35,69,.507,7,20,.350,9,15,.600,10,40,13,7,4,11,13,2024,abilene christian
